Index,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Summation
1,0,0,0,0,0,0,0,0,0,5,0,1,1,7
2,2,0,5,2,0,5,4,2,0,2,2,0,1,25
3,4,5,0,0,0,3,4,2,6,2,1,1,1,29
4,1,5,3,0,0,4,4,0,6,2,0,1,1,27
5,0,0,9,0,0,6,3,0,0,6,0,0,1,25
6,5,2,3,0,0,3,3,0,6,0,0,1,0,23
7,4,3,3,0,0,3,5,0,6,0,0,1,0,25
8,2,5,3,0,0,3,3,0,0,0,0,0,0,16
9,7,2,1,0,0,2,3,0,5,0,0,1,0,21
10,2,3,3,1,0,4,7,2,0,3,1,0,1,27
11,0,3,2,2,2,8,7,0,6,0,0,1,0,31
12,3,4,3,1,0,3,4,2,5,2,1,1,1,30
13,3,4,3,1,0,3,3,0,6,0,0,1,0,24
14,3,2,4,1,0,4,4,0,0,0,0,0,0,18
15,4,3,3,0,0,3,3,2,5,2,1,1,1,28
16,2,5,3,0,0,3,3,2,0,4,1,0,1,24
17,0,1,6,2,0,5,4,0,0,0,0,0,0,18
18,0,6,3,0,0,4,2,2,6,3,1,1,1,29
19,2,2,6,0,0,4,6,2,5,2,1,1,1,32
20,5,4,0,0,0,3,1,0,0,0,0,0,0,13
21,3,5,2,0,0,3,3,0,6,0,0,1,0,23
22,3,6,0,0,0,3,3,2,6,4,1,1,1,30
23,1,1,8,0,0,5,6,2,6,4,1,1,1,36
24,0,5,4,0,0,4,6,0,0,0,0,0,0,19
25,0,5,4,0,0,4,6,0,0,0,0,0,0,19
26,0,4,5,0,0,4,3,2,0,4,1,0,1,24
27,2,3,3,2,0,5,4,0,6,0,0,1,0,26
28,4,2,4,0,0,3,3,2,0,3,1,0,1,23
29,9,0,0,0,0,1,1,0,0,0,0,0,0,11
30,5,3,2,0,0,3,3,2,0,3,1,0,1,23
31,5,3,2,0,0,3,2,2,6,3,1,1,1,29
32,4,4,2,0,0,3,3,0,0,0,0,0,0,16
33,4,2,4,0,1,4,3,0,6,3,0,1,1,29
34,4,3,3,0,0,3,4,0,0,0,0,0,0,17
35,0,5,4,0,0,4,6,0,0,3,0,0,1,23
36,3,4,3,0,0,3,7,2,6,3,1,1,1,34
37,0,6,3,0,0,4,6,2,6,4,1,2,1,35
38,2,7,1,1,0,3,4,0,0,1,0,0,1,20
39,7,0,2,0,0,3,5,0,0,6,0,0,1,24
40,3,5,2,1,0,3,3,2,5,4,1,1,1,31
41,4,5,0,0,0,3,2,2,0,2,1,0,1,20
42,2,4,3,0,1,4,6,2,6,4,1,1,2,36
